Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,Cluster_5
football,0,-0.3367050392403805,-0.4475740656049271,-0.2170871358309855,-0.1472913082278821,3
swim,1,-0.6857462727260011,0.43674770797341916,0.0636578271627122,-0.021175089954778674,1
basketball,0,-0.33670503924037853,-0.44757406560492685,-0.21708713583098527,-0.14729130822788475,3
basketball,1,-0.6857462727260016,0.4367477079734221,0.06365782716271282,-0.02117508995478016,1
soccer,1,-0.5722685471068173,0.29308578983397143,0.23178284596692905,0.9425249246936727,1
football,1,-0.6857462727260014,0.436747707973422,0.06365782716271311,-0.021175089954778445,1
soccer,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
tennis,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
soccer,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
soccer,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
basketball,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
football,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,2
tennis,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
track,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
rowing,1,0.955779684381952,-0.23543411599147873,0.44516487992604103,0.6183121182863311,2
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
baseball,1,-0.11121385604751839,0.23596196517304466,1.0865582999543788,0.7233839560244919,1
soccer,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
soccer,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,2
track,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
bowling,1,0.906073957811424,-0.10634638631969968,0.3451408209891584,-0.27491265433021134,2
soccer,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,1,0.2378273774381044,-0.6483598084053038,0.8058133369606805,0.5972677377513856,0
track,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
,0,0.3971707065612016,1.002490573122904,-0.46303314481909325,0.04396681221395774,4
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
swim,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,1,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,1
soccer,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
football,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
swim,1,0.4932607252771458,0.7925495757263186,0.557784824115523,-0.21927167808901354,2
swim,0,-0.22322731362119472,-0.5912359837443764,-0.048962117026769086,0.8164087064205663,3
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
tennis,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,1,-0.5722685471068175,0.2930857898339721,0.23178284596692925,0.9425249246936724,1
basketball,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
baseball,1,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,1
,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,2
soccer,0,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,4
,1,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,1
,0,-0.2729330401917228,-0.46214825407259735,-0.14898617596365202,-0.07681606619597649,3
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
cheer,1,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,1
basketball,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
soccer,0,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,4
,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
basketball,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
golf,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
soccer,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
fencing,1,0.14568375983703,0.7060114822477972,-0.12886561106771005,0.9635693052286182,1
,1,0.2378273774381044,-0.6483598084053038,0.8058133369606805,0.5972677377513856,0
basketball,1,0.6705104499449848,0.6343134691192,0.7940108027870731,0.814903578591346,2
,0,0.49472499332265274,-0.17831029133055126,-0.4096105740614084,0.837453086955512,4
,1,1.3207443567253072,-0.08261694325582085,0.27912236497887444,0.6624096399201218,2
gymnastics,1,0.8582253976205009,0.9453667484619765,0.39174230916835634,-0.17517415645522286,2
football,1,0.906073957811424,-0.10634638631969968,0.3451408209891584,-0.27491265433021134,2
soccer,1,-0.5722685471068175,0.2930857898339721,0.23178284596692925,0.9425249246936724,1
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
basketball,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
field hockey,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
soccer,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
,1,-0.5084965480581621,0.2785116013663024,0.2998838058342628,1.013000166725581,1
track,1,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,1
football,0,0.8099839390954798,0.10359461107688558,-0.675677147945458,-0.011674164027240122,4
volleyball,0,0.49472499332265274,-0.17831029133055126,-0.4096105740614084,0.837453086955512,4
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
cheer,0,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,4
,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
bowling,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
football,1,0.4932607252771458,0.7925495757263186,0.557784824115523,-0.21927167808901354,2
volleyball,1,0.8423019587627686,-0.09177219785202977,0.2770398611218247,-0.3453878963621198,2
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
track,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
,0,0.9234616647146633,-0.040067307062563326,-0.5075521291412415,0.9520258506212109,4
soccer,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
dance,0,-0.22322731362119472,-0.5912359837443764,-0.048962117026769086,0.8164087064205663,3
soccer,0,0.8596896656660078,-0.025493118594893567,-0.575653089008575,0.8815506085893027,4
,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,2
baseball,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
football,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
swim,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,1,0.18812165086757623,-0.5192720787335248,0.7057892780237977,-0.29595703486515706,0
,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
tennis,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
soccer,1,1.2072666311061238,0.061044974883628,0.11099734617465802,-0.3012903747283291,2
track,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
hockey,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
tennis,1,1.0195516834306075,-0.2500083044591486,0.5132658397933748,0.6887873603182397,2
basketball,0,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,4
track,0,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,4
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
wrestling,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
volleyball,1,1.3207443567253072,-0.08261694325582085,0.27912236497887444,0.6624096399201218,2
tennis,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,1
wrestling,1,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,1
karate,0,0.8596896656660078,-0.025493118594893567,-0.575653089008575,0.8815506085893027,4
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
basketball,1,1.0195516834306075,-0.2500083044591486,0.5132658397933748,0.6887873603182397,2
,1,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,0
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
cross country,1,1.3207443567253072,-0.08261694325582085,0.27912236497887444,0.6624096399201218,2
swim,1,0.2378273774381044,-0.6483598084053038,0.8058133369606805,0.5972677377513856,0
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,3
,0,0.8099839390954798,0.10359461107688558,-0.675677147945458,-0.011674164027240122,4
