Sport_Name,Cluster_5,PC1,PC2,PC3,PC4
football,3,0.3367050392403791,-0.447574065604926,0.21708713583098563,-0.147291308227885
swim,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
basketball,3,0.3367050392403791,-0.447574065604926,0.21708713583098563,-0.147291308227885
basketball,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
soccer,1,0.5722685471068164,0.2930857898339719,-0.2317828459669289,0.9425249246936727
football,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
soccer,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
tennis,3,0.3367050392403791,-0.447574065604926,0.21708713583098563,-0.147291308227885
soccer,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
soccer,1,-0.032206034217847845,0.8496734003872455,0.29699062987192537,-0.00013070941983353568
basketball,4,-0.38124726770346873,-0.03464837319110187,0.5777355928656244,-0.1262469276929401
football,2,-0.8423019587627684,-0.09177219785203122,-0.2770398611218249,-0.3453878963621204
tennis,3,0.3367050392403791,-0.447574065604926,0.21708713583098563,-0.147291308227885
,4,-0.38124726770346873,-0.03464837319110187,0.5777355928656244,-0.1262469276929401
track,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
rowing,2,-0.9557796843819518,-0.23543411599148067,-0.4451648799260405,0.6183121182863307
,3,0.3367050392403791,-0.447574065604926,0.21708713583098563,-0.147291308227885
,4,-0.38124726770346873,-0.03464837319110187,0.5777355928656244,-0.1262469276929401
baseball,1,0.11121385604751677,0.2359619651730424,-1.0865582999543781,0.7233839560244926
soccer,1,0.685746272726,0.4367477079734213,-0.06365782716271337,-0.02117508995477843
soccer,2,-0.8423019587627684,-0.09177219785203122,-0.2770398611218249,-0.3453878963621204
track,1,-0.032206034217847845,0.8496734003872455,0.29699062987192537,-0.00013070941983353568
